id,name,link,model,valoration,valorations,price,shippingCosts,seller,date
B08XQWR62V,EVGA GeForce RTX 3060 XC GAMING - 12G-P5-3657-KR - 12GB GDDR6 - Dual-Ventilador - Backplate de Metal,https://www.amazon.es/EVGA-GeForce-12G-P5-3657-KR-Dual-Ventilador-Backplate/dp/B08XQWR62V/ref=sr_1_1,rtx 3060,4.5,29,1097.6,24.24,TRIPPODO EU,27/10/2021 17:57:49
B08XQWR62V,EVGA GeForce RTX 3060 XC GAMING - 12G-P5-3657-KR - 12GB GDDR6 - Dual-Ventilador - Backplate de Metal,https://www.amazon.es/EVGA-GeForce-12G-P5-3657-KR-Dual-Ventilador-Backplate/dp/B08XQWR62V/ref=sr_1_1,rtx 3060,4.5,29,1189.0,0,Solution 4YOU,27/10/2021 17:57:49
B08XQWR62V,EVGA GeForce RTX 3060 XC GAMING - 12G-P5-3657-KR - 12GB GDDR6 - Dual-Ventilador - Backplate de Metal,https://www.amazon.es/EVGA-GeForce-12G-P5-3657-KR-Dual-Ventilador-Backplate/dp/B08XQWR62V/ref=sr_1_1,rtx 3060,4.5,29,1316.57,13.12,GetMarket,27/10/2021 17:57:49
B08XQWR62V,EVGA GeForce RTX 3060 XC GAMING - 12G-P5-3657-KR - 12GB GDDR6 - Dual-Ventilador - Backplate de Metal,https://www.amazon.es/EVGA-GeForce-12G-P5-3657-KR-Dual-Ventilador-Backplate/dp/B08XQWR62V/ref=sr_1_1,rtx 3060,4.5,29,998.76,0,Stortle,27/10/2021 17:57:49
B08XQWR62V,EVGA GeForce RTX 3060 XC GAMING - 12G-P5-3657-KR - 12GB GDDR6 - Dual-Ventilador - Backplate de Metal,https://www.amazon.es/EVGA-GeForce-12G-P5-3657-KR-Dual-Ventilador-Backplate/dp/B08XQWR62V/ref=sr_1_1,rtx 3060,4.5,29,1064.56,12.53,GetMarket,27/10/2021 17:57:49
B08XQWR62V,EVGA GeForce RTX 3060 XC GAMING - 12G-P5-3657-KR - 12GB GDDR6 - Dual-Ventilador - Backplate de Metal,https://www.amazon.es/EVGA-GeForce-12G-P5-3657-KR-Dual-Ventilador-Backplate/dp/B08XQWR62V/ref=sr_1_1,rtx 3060,4.5,29,1127.36,3.92,nrsolutions,27/10/2021 17:57:49
B08XQWR62V,EVGA GeForce RTX 3060 XC GAMING - 12G-P5-3657-KR - 12GB GDDR6 - Dual-Ventilador - Backplate de Metal,https://www.amazon.es/EVGA-GeForce-12G-P5-3657-KR-Dual-Ventilador-Backplate/dp/B08XQWR62V/ref=sr_1_1,rtx 3060,4.5,29,1199.9,0,PureGaming,27/10/2021 17:57:49
B08XQWR62V,EVGA GeForce RTX 3060 XC GAMING - 12G-P5-3657-KR - 12GB GDDR6 - Dual-Ventilador - Backplate de Metal,https://www.amazon.es/EVGA-GeForce-12G-P5-3657-KR-Dual-Ventilador-Backplate/dp/B08XQWR62V/ref=sr_1_1,rtx 3060,4.5,29,1199.9,0,PureGaming,27/10/2021 17:57:49
B08XQWR62V,EVGA GeForce RTX 3060 XC GAMING - 12G-P5-3657-KR - 12GB GDDR6 - Dual-Ventilador - Backplate de Metal,https://www.amazon.es/EVGA-GeForce-12G-P5-3657-KR-Dual-Ventilador-Backplate/dp/B08XQWR62V/ref=sr_1_1,rtx 3060,4.5,29,1432.78,0,ComputerPirates ES,27/10/2021 17:57:49
B08XQWR62V,EVGA GeForce RTX 3060 XC GAMING - 12G-P5-3657-KR - 12GB GDDR6 - Dual-Ventilador - Backplate de Metal,https://www.amazon.es/EVGA-GeForce-12G-P5-3657-KR-Dual-Ventilador-Backplate/dp/B08XQWR62V/ref=sr_1_1,rtx 3060,4.5,29,859.0,0,IBERLOAD,27/10/2021 17:57:49
B08XQWR62V,EVGA GeForce RTX 3060 XC GAMING - 12G-P5-3657-KR - 12GB GDDR6 - Dual-Ventilador - Backplate de Metal,https://www.amazon.es/EVGA-GeForce-12G-P5-3657-KR-Dual-Ventilador-Backplate/dp/B08XQWR62V/ref=sr_1_1,rtx 3060,4.5,29,1055.78,0,JTC Computer Store,27/10/2021 17:57:49
